,Entity,Code,Year,fertilizer_quantity,Nitrogen,Potash,Phosphate,Pesticides,Water_resources,Wheat yield,Rice yield,Barley yield,Maize yield,Rye yield,Oats yield,Millet yield,Sorghum yield,Potatoes yield
89,Argentina,ARG,1990,326054,101400.0,12600.0,51500.0,26156.0,8946.721,1.8946999,3.6708999,2.1934,3.4608,0.8103,1.5403,1.3219,2.8116,20.2747
90,Argentina,ARG,1991,322884,95700.0,17100.0,54500.0,26156.0,8820.217,1.8972,4.0294,2.4557,4.0443997,0.8103,1.5403,1.5110999,3.332,20.569199
91,Argentina,ARG,1992,402269,146600.0,18000.0,83600.0,26156.0,8698.687,2.1808999,5.2075,2.5500998,4.5236998,0.9055,1.3377,1.6137999,3.6216998,19.9039
92,Argentina,ARG,1993,455407,167700.0,19800.0,106400.0,26156.0,8581.36,2.3272,4.3559,2.3105,4.3552,0.7069,1.6143,1.6610999,3.9529,21.031399
93,Argentina,ARG,1994,633853,281800.0,26400.0,153800.0,30195.0,8466.542,2.0237,4.2989,2.3093,4.2371,0.86259997,1.4383999,1.4664999,3.5065,23.0166
94,Argentina,ARG,1995,696480,318800.0,23400.0,182500.0,37842.0,8355.723,2.1675,5.0306,1.7709,4.5223,0.9604,1.3791,1.3628,3.4587998,27.427198
95,Argentina,ARG,1996,1024748,510300.0,38000.0,306900.0,54595.0,8251.067,1.9344,5.1031,2.1469998,4.0397,0.78929996,1.2177,1.0531,3.8762999,22.8877
96,Argentina,ARG,1997,984134,476400.0,30600.0,302600.0,77691.0,8152.7876,2.2426,5.3703,2.8662,4.5557,0.8531,1.2557,1.0256,3.6845,26.850199
97,Argentina,ARG,1998,956752,422700.0,32100.0,320700.0,62397.0,8058.908,2.6088,4.7762,2.5377,6.078,0.9777,1.7688999,1.2566,4.8104997,29.3744
98,Argentina,ARG,1999,981617,457300.0,26000.0,340200.0,73293.04,7966.599,2.3028,5.7337,2.2726998,5.3701997,1.0949,1.5955,1.4158,4.3845,23.893799
99,Argentina,ARG,2000,982368,498223.0,30960.0,333800.0,84189.08,7876.825,2.4873,4.7798,2.9153,5.4329,1.2681,1.6437999,1.5141,4.6477,27.7566
100,Argentina,ARG,2001,1081013,496500.0,30991.0,334500.0,95085.12,7790.719,2.4933999,5.7495,2.1504,5.4553,1.4498,1.9197999,1.7652999,4.7429,28.376799
101,Argentina,ARG,2002,1021224,534592.0,21178.0,286608.0,105981.16,7707.5303,2.2398,5.7197,2.1927,6.0790997,1.3514,1.8335999,1.9056,5.2690997,25.134699
102,Argentina,ARG,2003,1211148,740659.0,38843.0,420808.0,116877.2,7628.37,2.0361,5.4002,3.0072,6.4767,1.4021,1.6678,1.8439,5.0315,27.926899
103,Argentina,ARG,2004,1487364,796423.0,32256.0,565709.0,127773.24,7551.308,2.5441,6.2661,3.2495,6.3931,0.95,1.5037,1.5783,4.5531,28.871698
104,Argentina,ARG,2005,1307377,640406.0,43894.0,513245.0,138669.28,7473.6694,2.6355999,6.0165,2.9891,7.3587,1.4708999,1.8403,1.7375,5.1872,28.391699
105,Argentina,ARG,2006,1518789,787677.0,37339.0,618332.0,149565.31,7396.7397,2.5302,7.061,3.7573998,5.903,1.1532999,1.5308,1.5883,4.6777997,28.5828
106,Argentina,ARG,2007,1851030,981351.0,47058.0,766161.0,186790.19,7322.68,2.6234,6.5604,3.5417,7.6654997,1.1853,1.7602999,1.4158,4.7021,28.676498
107,Argentina,ARG,2008,1314956,761959.0,43378.0,436378.0,203369.34,7250.377,2.8271,6.8278,2.9499998,6.4525,1.9943,2.1067,1.4152,4.7474,27.941198
108,Argentina,ARG,2009,1233690,477061.0,14235.0,296898.0,140094.8,7177.209,1.9627999,6.8841996,2.6973999,5.5759997,1.0083,1.3716999,1.7242999,3.8751998,29.3326
109,Argentina,ARG,2010,1594916,771245.0,33214.0,683667.0,235739.1,7158.8887,2.7113,5.7646,3.971,7.804,0.951,1.3058,1.3655,4.8163,29.620298
110,Argentina,ARG,2011,1765046,857190.0,35943.0,724710.0,220610.05,7076.817,3.5063,6.7900996,3.6439,6.3503,1.8448,2.32,1.6999999,4.4028997,29.864899
111,Argentina,ARG,2012,1550216,734890.0,41996.0,595678.0,216308.7,6996.8154,3.2199,6.6617,3.044,5.7346,1.8419,2.1158,1.7608,4.6534,30.3967
112,Argentina,ARG,2013,1615950,788154.0,38736.0,601137.0,212007.34,6918.95,2.6581,6.7187,3.9101999,6.6036997,1.747,1.9057,1.8288,4.0852,30.735699
113,Argentina,ARG,2014,1658388,784091.5,34479.88,561082.94,207706.0,6843.2954,2.6619,6.5042,3.2642,6.8409,1.6308,1.9672999,1.1867,4.4009,31.0577
114,Argentina,ARG,2015,1337063,603481.3,41006.0,424761.28,203807.0,6769.921,2.81,6.6988997,3.2642,7.309,1.9056,2.1457999,2.2745,4.7043,31.342499
115,Argentina,ARG,2016,2004055,923361.8,39753.0,649175.4,199908.0,6698.7275,2.8623,6.7632,3.9608,7.4427,1.7644,2.3093998,1.5536,4.4976,32.1969
116,Argentina,ARG,2017,1834450,975843.06,42132.0,640480.2,196009.0,6629.612,3.3047,6.5083,4.2991,7.5758996,1.9274,2.445,1.9235,4.6626,32.8586
117,Argentina,ARG,2018,2065066,1160519.5,41297.79,689062.75,172928.0,6562.6084,3.1806,6.903,4.1826997,6.0882998,1.9117999,2.2514,1.2522,3.5739,33.4052
118,Argentina,ARG,2019,2260279,1278498.9,38561.61,758871.3,204559.0,6497.7383,3.2159998,6.4919,3.3748999,7.8615,1.7551999,2.4001,1.8921,4.674,33.884598
147,Australia,AUS,1990,1289614,439400.0,145373.55,583783.6,17866.42,28830.725,1.6344,8.8,1.6766,4.1821,0.70159996,1.4659,1.1415,2.4882998,28.9832
148,Australia,AUS,1991,1409909,462300.0,142074.14,685938.2,17866.42,28465.574,1.6344,8.8427,1.6766,3.9938,0.797,1.4659,0.65929997,1.9864999,28.5359
149,Australia,AUS,1992,1546920,488200.0,147373.17,788899.5,22234.95,28148.65,1.4698,8.8345995,1.7093999,5.1721,0.67649996,1.4567,1.2536,2.5430999,28.921999
150,Australia,AUS,1993,1643162,565400.0,176067.95,776495.75,23899.03,27899.367,1.7811999,7.64,1.8312999,4.4261,0.78819996,1.6853,0.6529,1.2833999,29.098099
151,Australia,AUS,1994,1864015,583200.0,219560.03,930483.9,21056.8,27631.96,1.9657999,8.1537,1.9472,4.6619997,0.5714,1.7392,0.99009997,2.1697,29.427
152,Australia,AUS,1995,2004050,671300.0,230757.98,973443.25,25598.59,27325.922,1.1356,8.8003,1.1791999,4.8262997,0.5714,1.0301,0.99729997,1.8555,29.818298
153,Australia,AUS,1996,2158393,824600.0,205962.52,993612.0,31185.06,26996.23,1.7899,6.3539996,1.8719,5.7689,0.5714,1.6504999,1.2981,2.0677,31.2853
154,Australia,AUS,1997,2330629,839400.0,254553.66,1099296.1,34091.5,26705.695,2.1673,8.3263,1.9886999,5.9403,0.5714,1.5712999,1.1999999,2.6195,31.3056
155,Australia,AUS,1998,2401499,979000.0,231957.78,1047765.0,37215.09,26440.832,1.8412,9.4256,1.841,4.7544,0.5714,1.7439,0.96879995,2.1320999,32.2292
156,Australia,AUS,1999,2504033,1082000.0,215960.69,1063900.0,34200.0,26153.152,1.8596,9.1615,1.8903999,5.1212,0.5714,1.9779999,1.2286,3.2215,32.1265
157,Australia,AUS,2000,2426134,951000.0,216960.52,1116338.6,33475.48,25855.543,2.0066,8.257299,1.9478999,4.936,0.5714,1.9144,1.4574,3.4003,28.4527
158,Australia,AUS,2001,2617615,1034000.0,241955.95,1197013.5,32709.51,25525.688,1.8209,9.307099,1.9521999,4.6471,0.5714,1.6139,0.8882,2.5539,32.8633
159,Australia,AUS,2002,2426572,972266.0,215566.78,1078107.5,26650.16,25236.969,2.1076,8.257999,2.2333,5.4929,0.5714,1.8283999,0.6565,2.4561,35.1358
160,Australia,AUS,2003,2338467,932911.0,220720.06,1020122.4,32417.57,24948.357,0.907,9.557799,1.0002999,6.257,0.5714,1.0501,0.8986,2.1966,34.743797
161,Australia,AUS,2004,2570685,1056527.0,258764.94,1116985.0,36276.68,24683.031,1.9998,8.3305,2.3188999,5.6326,0.5714,1.8527,1.2821,2.7366998,36.278698
162,Australia,AUS,2005,2361877,952174.0,222064.4,1041739.6,34310.35,24384.389,1.6348,6.6168,1.666,5.7983,0.5714,1.4352,1.0198,2.6629,34.411697
163,Australia,AUS,2006,2215750,858103.0,223507.52,992262.06,35901.27,24057.543,2.0212998,9.817599,2.1520998,5.3856,0.5714,1.8145,1.0,2.5205,35.431698
164,Australia,AUS,2007,2215953,848006.0,227347.77,990348.3,32446.24,23622.477,0.9173,8.2609,1.0179,4.9103,0.5714,0.7463,1.0,2.0918,35.5463
165,Australia,AUS,2008,2017256,835018.0,213618.95,825184.8,42935.38,23153.814,1.0788,7.5987997,1.4606999,5.6912,0.56909996,1.2136999,1.0,4.0252,38.1224
166,Australia,AUS,2009,1800565,849785.0,156890.72,647005.7,38065.69,22681.535,1.5831,8.460899,1.5945,5.8171,0.5981,1.3328999,0.95,3.5096,36.174698
167,Australia,AUS,2010,2110218,981787.0,166121.56,823642.4,42169.39,22331.408,1.5728999,10.3895,1.7787,5.5593,0.61689997,1.3665,1.013,3.0279,35.1334
168,Australia,AUS,2011,2303735,1098921.0,179619.11,880364.6,47632.98,22023.254,2.0300999,9.5441,2.1719,5.739,0.6293,1.3651999,1.0175999,3.0558,35.0887
169,Australia,AUS,2012,2271245,1124607.0,188033.23,883685.56,48687.88,21642.104,2.1511,8.9098,2.2108998,6.4653997,0.6667,1.7261,1.0146999,3.396,38.259197
170,Australia,AUS,2013,2502971,1222075.0,209544.98,842369.5,45177.19,21272.797,1.7608999,10.2177,2.0502,6.4441,0.6538,1.5388,1.0138,3.4419,38.5434
171,Australia,AUS,2014,2722959,1404588.0,231506.05,908282.25,49857.35,20957.854,2.0061,10.6827,2.4054,7.4554,0.65599996,1.7555,1.0169,2.4099,39.697
172,Australia,AUS,2015,2696774,1302762.0,239894.89,928054.5,50921.6,20658.385,1.9172,9.910299,2.1202,8.300099,0.677,1.4021,1.0210999,3.016,39.2501
173,Australia,AUS,2016,2787969,1474114.0,255367.97,948200.25,63416.48,20338.22,1.9742999,10.288899,2.1892,7.508,0.691,1.5820999,1.0228,3.4399,40.4096
174,Australia,AUS,2017,2961346,1493809.0,273126.2,979986.6,60201.36,20004.715,2.61,9.8208,2.7939,6.4363,0.75,2.2041,1.0243,2.7017,38.9534
